experience,salary,age
6,493231,31
19,902168,40
14,923544,36
10,634020,28
7,557552,26
20,1869411,38
6,528447,27
18,1441554,40
10,605519,32
10,672479,35
20,1301217,38
3,200000,24
7,447742,24
2,200000,20
20,1257972,44
1,200000,20
11,595984,29
5,295289,19
1,200000,19
20,1824644,40
0,200000,16
11,879027,31
11,848427,35
16,1436521,34
9,601647,27
15,836803,32
14,653292,31
14,395226,36
18,1303565,39
11,897952,34
19,1464431,46
2,200000,17
4,342329,26
18,1071481,35
6,338378,29
20,1183810,40
8,569409,29
6,286376,23
17,1180555,36
3,229325,24
13,1125928,38
17,1234868,35
8,399244,27
20,1444667,43
1,200000,19
19,1011385,43
14,693832,34
6,247987,27
11,676418,33
7,608533,26
14,1453861,36
2,200000,20
13,1121790,32
16,1025300,38
3,200000,24
17,1368740,37
7,514655,24
3,291810,20
1,200000,22
5,559702,28
9,844881,26
3,209193,21
17,1113847,38
11,651891,32
1,200000,17
9,605168,30
3,233120,22
13,852598,38
15,1368366,36
14,1006259,36
7,463034,29
13,1109735,30
7,319635,33
20,1502296,36
15,1055753,38
12,586046,34
17,754331,36
14,1192172,36
20,1688837,40
12,871060,30
8,765998,30
14,1072603,31
12,1064964,32
0,200000,19
6,395177,25
8,433096,30
0,200000,19
11,727574,31
7,633131,26
10,815487,35
18,1349186,40
16,1328802,37
7,545375,30
2,200000,21
2,200000,25
0,200000,22
4,252489,20
9,776952,25
6,526668,25
8,479595,25
6,505474,26
8,516681,25
7,452721,27
11,812483,36
1,200000,21
0,200000,20
15,749785,37
4,272713,22
2,208354,25
11,310639,33
7,581322,28
2,200000,23
0,200000,27
2,200000,25
4,219956,31
14,1369332,36
13,1125089,29
2,200000,22
0,200000,15
4,358725,26
13,908393,36
6,542324,24
8,542156,27
14,837359,35
14,1360299,31
9,627185,26
12,678216,36
18,1014398,39
6,338407,25
16,1322666,31
19,1301824,42
3,313408,21
4,351170,30
6,443142,29
12,1092701,30
14,875943,32
10,421782,36
3,200000,23
12,866497,31
6,399971,27
18,1482592,37
1,200000,22
9,730984,29
12,1110174,35
20,1361691,39
5,391635,23
11,480460,30
11,749557,30
19,978891,39
10,721784,32
6,441239,28
0,200000,24
0,200000,18
19,1985063,41
12,611756,35
8,400502,26
2,200000,22
6,356614,21
5,279148,28
7,731805,27
8,678286,31
4,244332,25
0,200000,20
18,1785385,34
9,723368,25
11,982214,24
14,1149008,33
8,671630,35
19,1341326,36
16,1122723,29
16,1184092,39
19,1539319,47
11,723252,32
6,430984,27
1,200000,21
2,200000,17
16,819760,32
4,436358,24
16,944094,35
16,1033249,36
16,923376,39
1,200000,20
1,200000,24
4,222171,23
0,200000,24
0,200000,21
18,1241943,37
1,200000,22
20,2057319,40
11,826111,32
5,254444,28
3,273631,23
10,571633,29
16,1778050,33
5,355974,27
4,340798,26
19,737194,36
1,200000,24
5,450039,22
10,747672,34
15,1509539,38
15,1159164,37
0,200000,19
8,765628,30
5,425760,29
15,1005841,37
2,200000,20
19,654089,40
3,200000,27
18,939689,45
2,217931,22
18,1084399,41
19,1136852,43
6,283087,24
19,1254099,45
8,480255,25
0,200000,23
7,507689,28
6,419202,27
17,1155658,45
7,572548,27
0,200000,20
10,800080,34
17,1601562,40
9,692110,33
2,200000,23
6,334188,27
15,988097,41
15,1176692,33
19,893229,39
16,1319570,39
1,200000,21
0,200000,19
15,901631,37
11,691397,36
4,315838,24
4,272307,24
8,499863,27
8,616227,28
2,200000,26
18,922722,39
15,1178583,33
15,1612882,36
2,200000,26
19,845782,38
0,200000,17
19,808217,46
10,1175105,26
16,1656561,35
7,420076,28
3,200000,23
5,284122,25
7,470995,29
19,827868,32
2,200000,19
15,1007794,36
2,200000,21
17,1248559,38
13,721704,34
17,972379,31
1,200000,25
2,200000,21
15,1254186,33
8,564307,29
3,293925,24
0,200000,24
3,259667,24
0,200000,24
13,940685,31
20,1919396,41
15,964884,32
19,1485832,40
7,462045,27
6,395822,26
2,200000,22
16,941796,39
0,200000,16
15,1183732,33
11,941633,31
18,1234416,35
13,954777,34
5,338564,25
5,289191,21
12,995207,28
18,1436184,31
7,291282,24
1,200000,22
20,1135391,41
0,200000,21
14,839209,32
0,200000,20
4,260205,26
15,970993,32
18,1558994,39
3,235073,25
2,200000,21
16,986668,40
16,1238030,35
11,850919,29
13,792262,35
20,1329802,47
5,488510,26
2,200000,24
8,789296,27
4,346220,21
16,1534099,37
13,787330,34
20,1349433,39
2,200000,24
0,200000,19
19,1168210,37
20,1619364,44
0,200000,24
2,200000,21
17,1521158,43
9,644536,29
2,200000,23
7,438056,27
13,768929,35
17,1376442,38
14,1070476,35
1,200000,18
9,583602,24
1,200000,25
16,852019,35
7,367008,27
0,200000,21
8,663211,33
10,753064,31
15,985210,34
6,465217,25
9,862312,29
2,215466,20
17,767614,38
12,764594,32
6,376640,31
3,283193,23
12,393366,27
19,1476443,48
0,200000,23
7,662001,34
13,1202702,30
15,1132239,35
13,601954,36
11,675308,33
18,1134614,39
14,701444,28
1,200000,16
1,200000,26
18,1790638,44
16,1591077,36
19,1220257,44
9,674346,26
5,344578,23
14,1169383,31
10,891201,28
4,295479,27
0,200000,18
7,424836,34
20,1531014,42
11,796855,35
11,619553,33
4,279157,28
6,385513,24
3,200000,28
5,264013,26
12,851250,36
19,1107564,35
14,881067,35
2,200000,23
7,556372,26
19,1051051,40
15,1129175,40
12,863900,30
17,1623932,40
9,816724,26
18,845887,45
16,1326670,39
18,1601603,44
4,313561,27
20,1299376,42
8,849607,31
11,877482,31
20,1992963,36
0,200000,22
0,200000,18
14,858262,31
1,200000,23
15,1000069,35
7,362475,31
12,957050,30
20,1870205,39
0,200000,24
15,1536822,36
6,279817,22
4,343261,25
2,200000,27
11,736334,30
15,1008137,37
18,1541546,36
4,310359,24
13,520504,37
4,229397,25
14,977154,38
16,791272,38
13,817536,40
19,946764,35
4,257789,24
11,714457,28
15,1129144,32
15,1029354,32
20,1550836,41
6,454518,27
3,256410,25
0,200000,17
4,326087,24
9,1049157,27
4,300844,27
3,326710,21
1,200000,21
19,1306387,41
9,579622,28
18,1667625,41
0,200000,25
4,315987,25
12,1044038,35
3,200000,17
15,701524,34
15,1330423,36
1,200000,18
16,1299832,37
19,1125572,43
11,1043403,26
17,797193,34
2,200000,23
0,200000,22
0,200000,23
18,1362213,39
10,683901,32
4,235842,27
11,737009,30
2,200000,21
0,200000,20
0,200000,21
7,417997,26
9,667195,28
10,501238,32
11,947053,32
12,1028461,32
11,721281,26
13,913292,33
1,200000,19
18,823016,41
17,1584231,37
2,200000,20
16,937564,36
7,474205,31
9,764399,31
1,200000,22
18,732909,35
8,453560,33
6,458172,25
3,308538,26
20,1022024,40
17,859392,40
12,567732,36
10,454491,32
3,264256,26
20,1848406,40
3,217999,22
9,566858,30
4,387468,23
8,580868,36
2,200000,20
16,996052,40
2,200000,24
15,771598,36
3,238316,28
17,1238689,38
16,905304,35
6,340700,27
4,376957,24
11,1095325,33
16,1068847,39
12,852195,30
2,200000,26
8,577763,28
16,718168,38
16,1222688,38
19,734951,41
15,885146,35
12,930976,31
18,1421998,38
16,925582,41
3,200000,21
11,672016,29
8,547658,26
18,1252765,39
11,880297,27
8,497972,24
6,453605,26
13,1008868,30
19,1386512,36
18,1189906,35
14,1017935,32
15,1219141,38
20,1651755,43
4,388922,30
2,200000,28
11,697398,34
19,870161,43
20,1679302,41
3,200000,25
20,1461857,46
15,914023,37
6,390596,30
12,1060174,30
20,1608270,39
9,614944,30
6,489103,27
13,1064030,32
4,256514,32
2,200000,23
10,565125,29
10,498920,31
17,1486930,38
14,1261004,35
11,1031751,27
8,317653,32
9,774639,34
11,1135011,36
16,1386877,37
5,200000,27
6,579146,24
13,918129,36
12,798168,33
7,537365,26
9,488384,32
8,560333,31
17,1603209,38
1,200000,23
4,283504,21
4,285376,28
5,261395,23
18,1219503,36
7,318398,28
15,1280049,39
12,446572,36
0,200000,20
19,1609132,42
16,1436503,31
6,427817,24
12,1004993,30
3,202811,27
3,200000,25
5,464804,26
18,1233840,39
11,537430,36
6,377986,26
9,572311,26
18,1384658,42
6,631234,27
2,200000,25
12,877231,32
12,1282039,30
17,1439617,39
19,1402461,40
7,439661,28
8,597944,33
6,414024,23
0,200000,21
2,200000,20
12,742742,25
16,1243249,36
0,200000,21
5,300341,27
20,1153213,40
5,338724,21
11,693831,29
12,1047419,36
12,659681,30
14,994378,39
20,2163814,44
15,1142937,35
20,1573787,38
10,874102,34
4,252223,24
3,200000,19
2,200000,24
18,1331659,40
19,868809,43
17,1285643,39
14,1204668,33
8,450446,32
16,1224533,41
13,1083991,34
14,1103202,35
0,200000,17
20,1326559,39
2,200000,25
15,949392,34
10,612091,26
11,756757,42
9,777591,25
15,754835,42
7,505146,27
5,270244,25
11,647892,29
20,1567622,43
7,365055,23
3,243040,18
7,348022,32
17,1360080,35
4,200000,27
8,485862,25
3,295342,26
16,1530051,42
8,510497,27
0,200000,15
20,1761220,46
19,1524169,42
12,790776,31
15,881557,35
12,996258,29
13,1130487,38
2,200000,21
5,223456,21
17,870453,38
18,1573719,36
4,200000,21
14,1240095,33
1,200000,22
9,559676,25
17,1242384,42
12,597833,35
4,329440,23
0,200000,18
0,200000,20
17,1127140,40
14,657012,37
16,760099,40
10,500553,29
20,1396316,32
16,1147216,40
12,996319,32
0,200000,22
1,200000,27
8,643328,36
2,200000,21
0,200000,21
20,1774742,45
15,982478,33
5,348498,24
16,1212066,35
4,225208,24
4,263069,24
5,414898,24
2,200000,20
20,1631932,43
4,210689,29
20,1329025,45
4,256216,23
9,687399,32
9,675313,30
18,1301965,37
16,1711776,39
20,1312758,39
13,830474,32
8,421190,24
13,610119,32
0,200000,21
18,1065955,43
12,1075813,31
12,847049,29
3,218699,28
0,200000,19
16,1207672,31
