hours_studied,attendance,pass
5.0,94.0,1
3.7,89.2,1
5.3,80.6,1
7.0,73.5,1
3.5,87.0,1
3.5,83.9,1
7.2,89.0,1
5.5,86.4,1
3.1,90.5,1
5.1,74.6,1
3.1,93.2,1
3.1,82.0,1
4.5,100.0,1
0.2,73.1,1
0.6,97.4,1
2.9,82.0,1
2.0,73.5,1
4.6,75.2,1
2.2,76.8,1
1.2,84.2,1
6.9,85.2,1
3.5,74.3,0
4.1,79.8,1
1.2,100.0,1
2.9,97.3,1
4.2,84.4,1
1.7,80.4,1
4.8,81.2,1
2.8,86.1,1
3.4,69.8,1
2.8,77.4,1
7.7,63.3,1
4.0,84.0,1
1.9,86.5,1
5.6,75.2,1
1.6,95.7,1
4.4,67.7,1
0.1,65.4,1
1.3,82.2,1
4.4,90.5,1
5.5,96.8,1
4.3,75.4,1
3.8,90.8,1
3.4,79.6,1
1.0,78.3,1
2.6,88.8,1
3.1,86.5,1
6.1,64.2,1
4.7,94.8,1
0.5,93.8,1
4.6,73.7,1
3.2,84.0,1
2.6,84.9,1
5.2,82.6,1
6.1,74.5,1
5.9,73.3,1
2.3,79.7,1
3.4,91.7,1
4.7,85.4,1
6.0,76.3,1
3.0,87.7,1
3.6,51.5,1
1.8,91.5,1
1.6,62.6,1
5.6,76.4,1
6.7,68.8,1
3.9,67.1,1
6.0,91.6,1
4.7,75.3,1
2.7,83.5,1
4.7,79.5,1
7.1,84.8,1
3.9,80.8,1
7.1,67.2,1
0.0,90.0,1
5.6,75.1,1
4.2,64.4,1
3.4,75.7,0
4.2,95.0,1
0.0,88.5,1
3.6,76.5,1
4.7,76.5,1
7.0,76.8,1
3.0,100.0,1
2.4,83.8,1
3.0,84.3,1
5.8,90.3,1
4.7,82.4,1
2.9,77.4,0
5.0,78.0,1
4.2,79.3,1
5.9,79.6,1
2.6,87.3,1
3.3,80.5,1
3.2,87.3,1
1.1,79.2,1
4.6,80.8,1
4.5,60.0,1
4.0,89.2,1
3.5,83.5,1
1.2,90.0,1
3.2,51.0,1
3.3,100.0,1
2.4,78.6,1
3.7,91.1,1
4.8,69.6,1
7.8,86.1,1
4.3,69.5,1
4.5,73.8,1
3.9,99.1,1
0.2,78.1,1
3.9,82.2,1
4.1,88.7,1
8.9,85.0,1
3.6,81.5,1
4.6,83.6,1
3.9,100.0,1
1.7,79.4,1
6.3,82.0,1
5.5,90.5,1
5.6,91.1,1
2.2,91.9,1
6.8,86.4,1
1.2,68.6,1
5.2,96.3,1
8.4,68.5,1
2.0,83.0,1
2.9,72.5,1
4.2,79.4,1
3.0,83.3,1
0.9,83.2,1
4.1,84.2,1
1.9,96.1,1
4.9,84.5,1
2.2,77.6,1
7.1,89.6,1
2.4,91.9,1
3.4,67.7,1
5.6,86.0,1
1.5,87.0,1
4.5,77.0,1
6.6,93.8,1
0.8,78.5,1
4.4,81.3,1
4.5,78.3,1
5.6,80.2,1
1.5,69.0,0
1.4,65.6,1
5.0,95.9,1
4.6,71.5,1
4.5,70.1,1
4.7,58.5,1
2.6,73.6,1
4.5,66.8,0
4.6,96.4,1
2.6,90.1,1
7.7,73.1,1
4.9,100.0,1
1.6,89.8,1
5.3,76.8,1
2.1,55.0,1
5.6,100.0,1
6.3,66.1,1
2.4,63.5,1
5.9,90.2,1
4.8,100.0,1
5.6,93.8,1
7.8,85.6,1
3.5,85.9,1
2.5,88.5,1
2.2,87.6,1
2.4,82.8,1
3.8,81.0,1
4.7,79.4,1
4.6,72.5,1
5.7,77.2,1
4.0,63.1,1
6.9,79.0,1
3.5,70.1,1
9.4,69.0,1
5.3,81.8,1
2.3,93.9,1
1.9,89.2,1
5.0,64.3,1
3.6,70.1,1
5.4,89.4,1
4.9,70.2,1
3.9,77.8,1
2.3,85.5,0
1.0,70.3,1
3.1,81.1,1
5.7,66.7,1
4.4,74.0,1
1.5,83.2,1
4.3,64.1,1
4.8,84.4,1
2.2,79.8,1
4.3,85.5,1
4.1,82.2,1
1.7,93.6,1
4.7,81.3,1
5.1,75.7,1
6.2,81.2,1
6.1,85.4,1
1.2,80.5,1
2.1,80.4,1
5.0,73.0,1
5.0,73.4,1
5.0,66.0,1
10.0,97.5,1
5.1,67.6,1
6.3,73.1,1
5.9,72.8,1
5.3,88.9,1
3.4,77.1,1
5.5,92.5,1
2.5,73.3,1
3.5,82.8,1
3.0,71.6,1
4.2,100.0,1
8.6,68.1,1
0.3,83.1,1
5.4,86.3,1
0.8,84.1,1
3.1,78.1,1
6.2,78.7,1
4.1,80.4,1
1.8,78.5,1
2.6,89.6,1
5.4,100.0,1
2.5,74.4,1
4.4,66.3,1
4.1,79.1,1
2.7,100.0,1
8.3,72.0,1
5.3,96.4,1
0.0,96.8,1
4.4,74.5,1
2.7,85.7,1
5.7,96.3,1
2.4,76.2,0
3.8,78.0,0
5.0,74.2,1
5.7,69.9,1
1.6,73.5,1
3.3,67.8,1
3.1,80.3,1
2.7,72.3,1
7.5,82.3,1
4.8,64.4,1
1.5,83.3,0
5.8,88.3,1
8.2,60.1,1
6.1,83.7,1
1.0,92.3,1
3.0,67.9,0
6.5,96.7,1
2.6,84.2,0
4.9,72.9,1
5.5,79.4,1
2.1,85.6,1
3.9,80.8,1
0.0,85.4,1
2.0,70.8,1
3.5,81.7,1
1.5,65.9,1
7.3,78.9,1
1.1,71.0,0
3.1,72.6,1
4.3,92.4,1
6.9,90.9,1
1.1,86.1,1
6.3,69.1,1
4.0,76.8,1
2.0,92.1,1
4.9,81.4,1
4.4,100.0,1
2.8,83.9,1
4.1,81.9,1
3.2,76.9,1
4.2,81.3,1
5.3,78.5,1
7.2,87.1,1
1.5,89.6,1
8.3,72.1,1
0.1,66.7,1
3.7,61.6,1
5.2,85.1,1
4.6,69.0,0
2.8,58.5,1
3.6,83.9,1
3.0,100.0,1
2.8,79.9,1
5.7,88.4,1
4.7,80.8,1
2.6,79.0,0
5.8,89.2,1
4.6,77.1,1
5.6,82.7,1
5.3,83.2,1
2.3,73.3,1
2.9,89.9,1
5.5,78.3,1
5.2,72.4,1
4.0,85.4,1
4.2,71.0,1
6.6,80.3,1
2.8,79.9,1
5.1,90.9,1
3.6,84.7,1
3.6,79.7,1
6.2,88.2,1
5.7,93.9,1
5.6,85.6,1
6.6,80.1,1
4.0,66.9,1
5.4,69.3,1
3.4,76.9,1
4.6,73.9,1
3.7,78.1,1
4.2,80.6,1
5.2,85.3,1
2.4,79.3,1
8.2,84.9,1
2.0,80.6,1
1.6,60.2,1
6.3,70.6,1
5.6,78.6,1
5.2,67.9,1
5.3,86.0,1
4.0,95.3,1
2.2,92.2,1
4.2,77.9,1
2.6,94.9,1
6.0,81.5,1
3.7,76.6,1
2.3,73.9,1
3.4,77.0,0
4.8,76.1,1
2.9,81.7,1
2.4,81.6,1
4.5,80.0,1
4.5,84.4,1
3.0,91.9,1
3.1,89.5,1
4.5,65.2,1
1.1,54.5,1
1.2,89.3,1
2.6,66.3,1
3.6,77.8,1
4.6,68.3,1
7.0,62.0,1
5.7,85.4,1
3.7,87.6,1
4.0,74.2,1
2.0,54.1,1
4.0,74.5,1
3.4,83.9,1
4.6,65.2,0
2.3,81.8,1
5.0,79.8,1
7.1,85.8,1
3.8,81.2,1
4.8,70.3,1
5.4,92.0,1
3.2,78.4,0
4.4,79.7,1
4.0,70.7,1
4.2,75.6,1
2.5,71.2,0
4.0,78.3,1
5.0,97.1,1
6.9,66.3,1
5.9,63.9,1
8.3,94.7,1
2.5,77.9,1
5.7,73.3,1
4.4,90.4,1
8.4,73.9,1
2.4,98.3,1
2.3,86.8,1
2.8,75.1,1
0.0,100.0,1
2.9,73.9,1
2.5,87.4,1
4.3,83.0,1
4.7,93.0,1
7.8,95.6,1
5.9,80.3,1
2.8,72.5,1
2.2,84.6,1
5.0,73.2,1
1.4,100.0,1
7.7,81.4,1
6.4,76.3,1
3.1,81.8,1
0.6,66.5,0
6.7,70.3,1
3.8,92.0,1
6.5,73.4,1
0.8,69.5,1
2.8,85.4,1
4.0,91.9,1
4.1,87.2,1
3.1,90.0,1
5.2,72.4,1
1.9,65.8,0
3.7,95.0,1
4.2,76.8,1
5.0,77.5,1
5.4,93.3,1
1.8,85.6,1
0.9,84.6,1
6.6,100.0,1
4.7,73.6,1
2.5,89.3,1
7.1,80.6,1
4.2,82.7,1
6.4,95.3,1
4.1,85.1,1
8.1,85.4,1
7.5,90.7,1
3.5,76.4,1
5.9,71.6,1
5.3,69.6,1
6.7,60.3,1
2.1,100.0,1
5.4,69.0,1
6.1,77.8,1
0.5,77.2,1
1.6,83.1,1
0.0,88.2,0
3.5,88.6,1
5.4,74.2,1
7.0,78.3,1
4.1,82.8,1
7.3,77.5,1
1.2,96.1,1
0.6,84.9,1
3.9,87.3,1
4.8,86.6,1
3.9,91.7,1
0.0,81.8,1
3.8,67.0,1
1.4,84.0,1
5.3,73.5,1
4.7,74.7,1
2.1,85.9,1
3.0,92.4,1
1.9,80.2,1
3.9,83.1,1
5.9,97.0,1
2.0,82.4,1
5.0,100.0,1
2.9,85.7,1
2.4,62.4,1
3.8,87.5,1
1.9,83.8,1
2.9,92.9,1
1.6,86.7,1
7.9,78.6,1
4.1,67.8,1
2.6,77.9,1
4.4,71.5,1
3.8,74.2,1
3.6,85.9,1
5.2,96.7,1
5.5,83.9,1
2.9,68.0,1
2.8,84.4,1
3.4,92.0,1
0.0,73.9,0
1.0,78.7,1
6.7,80.1,1
7.3,72.2,1
3.5,86.5,1
5.2,78.8,1
4.6,84.2,1
10.0,71.1,1
6.2,75.6,1
3.7,87.2,1
2.1,76.3,1
0.8,97.3,1
4.4,76.0,1
2.5,82.2,1
1.2,89.3,1
2.7,65.8,1
1.8,62.4,1
7.4,64.7,1
5.8,92.6,1
4.0,74.5,1
7.0,100.0,1
4.2,74.4,1
2.3,81.8,0
7.0,95.4,1
5.1,100.0,1
1.9,100.0,1
3.6,92.1,1
2.2,90.2,1
1.2,85.9,1
5.9,87.8,1
7.8,74.5,1
1.2,71.8,1
5.1,80.0,1
2.7,78.3,1
3.0,75.5,1
2.8,87.0,1
2.3,89.6,1
4.1,80.9,1
2.3,94.8,1
4.5,68.6,1
3.9,78.1,1
3.5,72.8,1
2.2,61.3,1
2.8,79.2,1
5.5,78.8,1
5.0,95.1,1
2.0,86.3,1
4.2,69.8,1
5.5,98.5,1
0.7,92.2,1
5.1,85.8,1
2.7,77.7,1
5.1,70.4,1
2.5,76.3,1
0.4,90.9,1
0.7,98.8,1
4.1,95.4,1
4.5,75.1,1
2.2,68.8,1
5.3,81.4,1
0.7,62.3,0
3.9,83.2,1
1.6,78.5,0
2.7,75.3,1
4.1,64.1,1
2.3,85.1,1
3.2,74.7,1
6.0,68.3,1
2.8,51.3,1
5.7,79.7,1
1.7,97.7,1
5.1,96.6,1
6.9,75.4,1
0.0,74.0,1
2.4,84.7,1
5.2,70.0,1
3.6,83.0,1
4.7,87.7,1
2.8,92.3,1
4.2,79.0,1
3.7,78.0,1
6.3,71.2,1
4.5,71.7,1
4.7,77.7,1
3.2,83.7,1
3.0,89.1,1
3.1,72.0,1
4.8,94.9,1
3.2,77.3,1
4.6,79.8,1
8.2,72.5,1
5.7,55.8,1
3.3,88.8,1
6.4,87.4,1
3.2,77.2,1
0.0,80.7,1
2.0,85.2,1
0.3,64.4,0
3.3,74.7,1
4.0,87.9,1
7.4,67.5,1
4.7,82.9,1
3.6,66.4,1
5.7,84.7,1
0.0,79.6,1
4.5,63.8,1
5.5,91.6,1
1.0,72.7,1
6.3,71.9,1
4.7,82.0,1
3.2,91.5,1
5.3,69.8,1
8.5,80.6,1
4.4,84.3,1
4.5,86.9,1
3.1,81.8,1
2.3,76.3,1
5.7,71.7,1
2.3,80.9,1
4.1,69.3,1
3.0,50.8,1
5.0,84.4,1
4.7,89.0,1
6.1,56.4,1
3.0,69.9,1
3.5,86.2,1
2.0,100.0,1
3.1,80.2,1
4.8,72.7,1
5.5,78.2,1
2.2,93.7,1
5.7,73.5,1
6.7,72.0,1
4.8,75.2,1
7.8,70.5,1
2.5,81.2,1
1.5,96.2,1
0.4,83.2,0
7.0,77.5,1
5.3,77.1,1
3.9,64.4,1
4.6,88.8,1
1.7,79.2,1
8.9,78.2,1
4.3,100.0,1
4.2,83.0,1
5.5,72.5,1
5.0,75.7,1
4.4,91.5,1
2.4,81.1,1
4.9,65.6,1
7.8,89.2,1
6.7,73.3,1
7.2,98.7,1
3.0,90.8,1
2.0,75.5,1
3.7,92.8,1
4.1,80.7,1
6.2,88.5,1
0.6,84.8,1
7.1,71.5,1
3.7,73.6,1
3.1,90.3,1
2.0,76.7,1
0.7,76.0,1
5.6,70.4,1
4.1,84.2,1
1.4,100.0,1
1.4,69.3,1
3.3,80.2,1
7.3,94.1,1
3.5,79.2,1
1.0,84.5,0
3.5,69.4,0
3.5,84.3,1
0.0,78.1,1
3.9,89.9,1
3.5,91.9,1
5.4,100.0,1
7.7,85.8,1
6.3,83.3,1
3.5,81.9,1
1.8,76.5,1
9.1,83.4,1
4.1,77.0,1
4.0,81.7,1
4.0,93.2,1
4.4,69.9,1
3.7,91.4,1
2.9,93.2,1
2.9,78.8,1
3.9,58.8,1
2.9,73.9,1
2.6,93.0,1
4.2,79.8,1
3.5,70.0,1
7.0,75.0,1
0.0,88.4,1
6.2,85.5,1
6.5,77.6,1
0.0,76.3,1
3.3,76.1,1
3.3,70.8,1
1.2,96.2,1
2.4,76.8,1
1.8,92.2,1
7.5,95.2,1
5.9,90.0,1
6.5,75.7,1
5.4,84.0,1
1.7,79.8,1
3.0,71.0,1
5.0,83.2,1
1.6,68.2,1
5.4,91.9,1
3.5,75.4,1
3.3,82.0,1
5.4,82.8,1
4.9,77.4,1
3.3,85.9,1
6.3,75.3,1
1.8,88.7,1
5.2,66.5,1
5.2,81.3,1
3.4,99.4,1
4.7,70.0,1
1.5,73.2,1
5.8,85.1,1
3.6,81.8,1
3.0,83.5,1
6.1,84.9,1
2.6,86.3,1
1.2,91.1,1
0.9,84.1,1
5.2,77.6,1
1.4,86.7,1
7.5,99.0,1
0.0,78.7,1
7.4,70.3,1
4.4,91.1,1
3.8,78.8,1
2.9,58.3,1
4.8,88.5,1
3.9,74.6,1
6.2,79.1,1
4.2,83.3,1
4.3,81.9,1
3.3,87.1,1
3.9,75.6,1
4.6,85.1,1
0.6,77.4,1
1.3,87.4,1
5.5,86.2,1
4.3,70.6,1
3.6,90.9,1
4.0,74.6,1
4.7,88.1,1
2.9,83.7,1
2.4,98.4,1
4.4,77.8,1
2.0,76.5,1
4.8,79.8,1
0.6,77.0,1
6.1,88.0,1
4.9,63.8,1
4.5,69.5,1
6.0,69.3,1
7.3,89.5,1
6.0,97.1,1
0.3,79.0,0
1.4,78.3,1
2.8,80.7,1
4.1,91.6,1
5.0,70.7,1
2.5,82.4,1
4.4,89.8,1
2.5,85.0,1
2.8,81.9,1
1.2,90.0,1
2.2,53.0,1
1.3,86.8,1
2.0,73.5,1
6.1,61.7,0
2.1,85.1,1
9.3,93.7,1
5.0,78.6,1
4.4,89.5,1
2.3,96.1,1
5.4,93.1,1
2.8,96.4,1
4.2,87.4,1
9.1,80.8,1
3.8,64.0,1
6.3,77.5,1
2.6,71.6,1
3.9,100.0,1
7.5,78.2,1
2.7,81.2,1
7.6,85.5,1
5.4,80.4,1
2.9,97.0,1
5.3,73.8,1
5.9,81.9,1
5.2,72.6,1
0.9,66.8,1
2.5,73.9,1
3.5,79.6,1
3.9,75.7,1
5.2,73.1,1
4.4,65.9,1
1.3,79.2,1
4.8,65.0,1
5.2,87.6,1
5.1,80.8,1
6.2,65.4,1
5.7,76.9,1
4.9,72.5,1
3.9,83.2,1
0.7,93.4,1
4.9,61.2,1
4.4,81.2,1
4.5,78.4,1
1.4,86.7,1
1.8,82.1,1
6.1,72.5,1
3.9,76.8,1
5.4,72.0,1
4.1,90.8,1
4.1,80.2,1
5.9,99.0,1
3.0,79.4,1
4.2,72.9,1
3.1,64.9,1
3.1,62.0,0
3.4,64.2,1
4.4,82.7,1
3.0,85.1,1
6.5,64.2,1
2.2,89.0,1
3.6,75.2,1
3.1,81.5,1
6.9,96.1,1
4.4,89.0,1
6.1,77.3,1
1.0,71.1,1
4.5,58.5,0
5.8,72.8,1
4.2,77.9,1
6.1,70.1,1
3.0,78.7,1
6.8,80.8,1
8.6,77.8,1
3.3,73.5,1
3.1,81.7,1
6.9,84.4,1
7.2,69.1,1
3.0,94.1,1
3.2,79.0,1
3.4,80.2,1
1.3,87.1,1
2.2,82.3,1
2.0,89.5,1
2.5,82.9,1
3.9,73.9,1
4.5,83.6,1
7.1,68.6,1
2.0,81.1,1
6.0,79.7,1
3.6,77.9,1
3.9,78.7,1
5.3,61.2,1
1.8,74.5,1
4.8,80.9,1
4.3,81.6,1
5.0,69.7,1
4.6,92.7,1
8.9,71.3,1
2.7,89.7,1
2.9,84.3,1
2.8,73.5,1
2.9,97.8,1
2.7,68.1,1
6.4,89.2,1
6.8,90.0,1
2.9,73.3,1
2.3,93.9,1
4.9,77.5,1
2.9,82.9,1
5.3,82.6,1
4.4,78.7,1
1.0,88.1,1
7.1,87.9,1
7.6,62.5,1
2.8,93.0,1
3.2,63.4,1
4.6,90.3,1
4.7,91.3,1
5.3,69.1,1
8.0,75.9,1
3.6,68.9,1
2.4,77.9,1
1.2,76.9,1
2.5,87.8,1
3.9,93.1,1
7.6,94.0,1
3.0,74.4,1
4.4,77.9,1
4.0,63.2,1
6.4,71.9,1
9.1,89.6,1
2.9,96.2,1
3.0,67.7,1
6.1,74.1,1
5.4,79.7,1
7.7,82.8,1
5.2,71.9,1
3.3,84.2,1
5.2,75.3,1
6.2,79.9,1
5.6,85.5,1
5.0,80.1,1
6.1,75.6,1
6.3,78.9,1
6.8,79.1,1
5.3,76.3,1
3.7,77.4,0
4.3,96.0,1
6.4,85.6,1
2.4,77.0,1
4.7,87.0,1
3.2,76.7,1
4.1,91.7,1
6.6,83.7,1
4.4,78.9,1
4.1,84.5,1
1.3,64.3,0
5.5,68.7,1
5.3,68.1,1
8.3,81.4,1
3.4,97.3,1
4.4,100.0,1
4.5,86.4,1
7.2,85.0,1
3.8,62.0,1
4.6,74.6,1
5.2,72.1,1
4.4,73.8,1
3.1,78.3,1
4.4,75.3,1
6.1,60.2,1
1.9,87.5,1
4.3,69.3,1
2.6,82.4,1
6.4,100.0,1
1.0,70.8,1
2.9,54.7,0
4.8,77.1,1
7.1,91.0,1
3.9,99.6,1
2.9,67.7,1
7.8,85.0,1
1.1,75.3,1
0.0,78.9,1
4.9,100.0,1
3.0,65.0,0
2.0,82.5,1
5.4,84.7,1
4.5,90.9,1
2.9,81.0,1
1.4,83.1,1
5.7,76.1,1
5.3,82.7,1
3.8,76.6,1
7.7,86.2,1
1.9,76.3,0
0.9,83.8,1
2.6,79.7,1
3.9,91.3,1
4.5,79.5,1
3.5,62.3,1
4.7,92.6,1
1.5,70.9,1
6.9,73.5,1
3.8,74.0,0
6.2,93.7,1
4.7,58.6,0
4.9,100.0,1
5.1,90.6,1
4.9,82.2,1
5.3,79.5,1
6.7,82.9,1
4.4,85.2,1
5.4,86.5,1
3.8,85.6,1
6.9,80.9,1
2.6,78.0,1
7.6,78.5,1
3.9,78.1,1
1.1,91.3,1
4.3,85.9,1
2.6,50.6,1
5.7,86.6,1
2.7,81.9,1
3.1,79.8,1
0.2,76.1,1
3.1,91.2,1
0.0,89.5,1
0.8,72.3,0
5.5,84.1,1
5.6,70.3,1
4.9,66.2,1
2.1,73.7,1
3.9,88.6,1
4.0,89.5,1
1.7,85.1,1
7.0,87.3,1
5.8,85.2,1
3.6,73.6,1
4.1,84.3,1
4.4,88.0,1
0.0,87.5,1
3.5,91.9,1
2.6,87.1,1
2.0,83.5,1
3.4,90.7,1
7.6,79.7,1
5.3,71.2,1
2.9,78.4,1
5.1,72.6,1
